Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Netherlands,NLD,58.68983841,59.65945053,59.94168091,60.33563995,61.16653824,63.71588898,75.87854767,76.60991669,,,80.56790924,80.36483765,,67.69302483
Norway,NOR,78.52335358,77.67086029,75.48916626,72.59172821,73.17814636,73.49289703,73.66792297,73.57792664,76.50804901,77.54669189,77.95803833,80.54653931,81.96893311,75.89594332
Nepal,NPL,7.827640057,8.3250103,10.22476959,11.1953001,11.15707016,14.28582954,14.35138988,,16.89318085,15.82124043,14.94526005,11.79994011,11.79292965,12.43878464
New Zealand,NZL,,,,,,,,,77.26394653,77.98036957,80.56337738,81.75045013,82.0031662,79.3895359
OECD members,OED,60.7833786,61.97518158,62.8203392,63.6644783,65.47048187,68.47701263,70.11991882,71.04885864,70.68106079,71.56136322,72.45085907,74.4091568,74.4091568,67.78850746
Oman,OMN,18.49704933,20.57554054,20.59288025,19.84260941,22.88195038,23.2843895,27.00289917,,30.47340965,35.31008148,40.0246582,44.59912109,,27.55314445
Other small states,OSS,12.29246998,12.58127022,13.29582977,14.50337982,16.29117966,16.74888992,17.48073006,18.14645958,18.56435966,18.69849014,18.89850044,18.74624062,18.83428955,16.35398332
Pakistan,PAK,4.925320148,4.976530075,5.61424017,5.592539787,6.91549015,,8.652290344,9.914959908,10.35412979,10.33819962,9.910039902,9.733499527,10.11884975,7.902476311
Panama,PAN,42.09764862,43.12208176,43.26062012,43.38990021,43.32649994,44.25597,42.16675949,43.9151001,,44.51879883,47.27062988,,,43.73240089
Peru,PER,33.17797089,34.32389832,,,,,,,,,,69.61643982,,45.70610301
Philippines,PHL,27.51209068,27.83902931,,29.20910072,28.54713058,29.61285019,30.82373047,31.22662926,33.53660965,35.64196014,,,35.27809143,30.43879233
Poland,POL,63.60012054,65.37525177,67.23523712,70.2686615,72.36704254,74.80387115,74.67247009,73.9884491,71.82937622,68.31302643,66.67102814,66.55599976,,69.64004453
Pre-demographic dividend,PRE,5.85337019,6.081160069,6.254350185,6.569169998,6.843090057,7.120349884,7.437650204,7.828829765,8.176429749,8.362239838,8.444060326,8.659930229,8.685079575,7.302552541
Puerto Rico,PRI,,,71.68164825,77.88883209,81.27616882,86.35122681,86.44988251,86.56530762,85.33376312,84.38082886,84.95079803,82.87081146,,82.77492676
"Korea, Dem. People’s Rep.",PRK,,,,,30.87760925,,30.34523964,,,,28.21475029,,,29.81253306
Portugal,PRT,55.08795166,55.05118942,57.43133926,61.22639084,62.25696182,65.20931244,68.03363037,68.12140656,65.76940918,65.14974213,61.43383026,62.93830872,,62.30912272
Paraguay,PRY,25.89110947,,29.05088997,34.48958969,37.14408112,35.08084869,,,,,,,,32.33130379
West Bank and Gaza,PSE,40.91503906,43.13056183,46.92409897,48.14543152,46.51763916,47.85192871,49.63602829,48.20714951,45.37023926,44.0291481,44.29608917,42.76095963,42.24660873,45.64869277
Post-demographic dividend,PST,69.20379639,70.83992767,71.95575714,73.03965759,74.51555634,76.73449707,78.15161896,78.17186737,76.67527771,77.19677734,77.10913849,77.77741241,77.87624359,75.11427371
Qatar,QAT,17.27091026,17.32332993,12.44034958,10.91781044,9.860349655,9.846949577,11.45722961,11.08806038,12.00553989,13.47702026,14.51807976,15.42144012,16.4153595,12.96892246
Romania,ROU,45.40872955,51.59534073,57.85995865,66.10286713,69.59979248,65.31626129,59.5322113,50.73437119,47.5501709,47.5348587,46.82249832,48.02275848,,54.67331823
Russian Federation,RUS,72.61016083,72.84288788,74.07260132,74.96829987,75.44277191,,76.49748993,76.14144897,78.05873108,78.74703217,80.49591064,81.81555939,,76.51753582
Rwanda,RWA,2.841639996,3.650789976,3.783900023,4.094550133,4.990089893,5.715919971,6.885079861,6.694809914,7.595300198,7.633910179,7.942540169,7.99985981,7.636429787,5.81903251
South Asia,SAS,9.479709625,10.19005013,11.58010006,13.12771988,14.20963001,15.84294987,19.73295975,21.06159019,20.81484032,22.02947998,23.12372971,23.25625992,23.31002998,17.03741829
